y_variable,feature,mean_abs_shap
LPA,Water,0.38619143552226254
SLEEP,TotalPopulation,0.05756531431902551
SLEEP,PercentMale,0.16145086366940248
SLEEP,PercentElderly,0.5020148387723238
SLEEP,PercentWhite,3.4602362081009423
SLEEP,AirQuality,0.03319086121394073
SLEEP,Animals,0.1343737928232403
SLEEP,Building,0.29760916697957585
SLEEP,CodeEnforcement,0.053641328865068026
SLEEP,Construction,0.046433929710016184
SLEEP,Fire,0.13283816625328443
SLEEP,Flooding,0.029522888151129256
SLEEP,Garbage,0.4411545868072163
SLEEP,Graffiti,0.08166669014390018
SLEEP,HazardousMaterials,0.01616691380014315
SLEEP,Homelessness,0.1844707431477492
SLEEP,Household,0.05267918491573498
SLEEP,IllegalDumping,0.5944095150121974
SLEEP,Noise,0.1455455112964701
SLEEP,Parks,0.03729004946756485
SLEEP,Recycling,0.32259445575699564
SLEEP,Rodents,0.05280889311391769
SLEEP,Sewage,0.03810319056089405
SLEEP,SnowRemoval,0.0579890885010392
SLEEP,StormwaterDrainage,0.021909240170445064
SLEEP,StreetConditions,0.19994419356663917
SLEEP,Streetlights,0.09298116224409533
SLEEP,TrafficSignals,0.07134037272269221
SLEEP,Transportation,0.17255730757959933
SLEEP,Trees,0.156472692335123
SLEEP,UnsanitaryConditions,0.08156886040314466
SLEEP,Water,0.09091827776421865
MHLTH,TotalPopulation,0.058678752452739756
MHLTH,PercentMale,0.1681497894816927
MHLTH,PercentElderly,0.9928366571074523
MHLTH,PercentWhite,0.9551419077260176
MHLTH,AirQuality,0.037294330522419594
MHLTH,Animals,0.11840410376023684
MHLTH,Building,0.35279329027813866
MHLTH,CodeEnforcement,0.09314788339443839
MHLTH,Construction,0.14696270635864062
MHLTH,Fire,0.08002259720457397
MHLTH,Flooding,0.053781726664602306
MHLTH,Garbage,0.11516884690872989
MHLTH,Graffiti,0.12622496209903408
MHLTH,HazardousMaterials,0.025621110517160057
MHLTH,Homelessness,0.15452305864300014
MHLTH,Household,0.061116203157630986
MHLTH,IllegalDumping,0.44876206383134953
MHLTH,Noise,0.08178850455432805
MHLTH,Parks,0.031643887262332186
MHLTH,Recycling,0.11170335071508894
MHLTH,Rodents,0.06503172297547052
MHLTH,Sewage,0.06341594407050428
MHLTH,SnowRemoval,0.057344096976745626
MHLTH,StormwaterDrainage,0.1720735175940713
MHLTH,StreetConditions,0.15009110431153902
MHLTH,Streetlights,0.06423313386773565
MHLTH,TrafficSignals,0.062339988410354055
MHLTH,Transportation,0.105787285693687
MHLTH,Trees,0.49000829396671036
MHLTH,UnsanitaryConditions,0.041237636208012934
MHLTH,Water,0.2520614366711048
PHLTH,TotalPopulation,0.06250614800824832
PHLTH,PercentMale,0.08831279249370334
PHLTH,PercentElderly,0.16227479460776226
PHLTH,PercentWhite,1.473599258698592
PHLTH,AirQuality,0.09626893142369558
PHLTH,Animals,0.17846181853314724
PHLTH,Building,0.40110129591059673
PHLTH,CodeEnforcement,0.08380431429109152
PHLTH,Construction,0.04003257060922035
