,TractFIPS,TotalPopulation,PercentMale,PercentElderly,PercentWhite,City
298,06037137104.0,2.754,49.0,23.6,81.8,Los Angeles
299,06037137201.0,6.029,43.0,10.6,59.4,Los Angeles
300,06037137301.0,2.271,49.0,18.1,78.4,Los Angeles
301,06037137302.0,4.449,52.2,23.1,82.7,Los Angeles
302,06037137401.0,4.299,48.3,14.5,82.1,Los Angeles
303,06037137402.0,5.365,49.9,24.5,83.5,Los Angeles
304,06037137501.0,4.915,50.5,13.4,77.2,Los Angeles
305,06037137502.0,4.549,49.2,18.6,72.7,Los Angeles
306,06037137504.0,2.155,49.5,25.2,90.7,Los Angeles
307,06037138000.0,4.78,50.6,22.7,75.9,Los Angeles
308,06037139001.0,5.639,49.4,14.5,88.2,Los Angeles
309,06037139200.0,5.662,42.3,16.0,81.9,Los Angeles
310,06037139301.0,4.445,47.5,18.1,71.5,Los Angeles
311,06037139302.0,5.0,51.8,11.7,66.4,Los Angeles
312,06037139303.0,4.26,50.3,12.3,69.9,Los Angeles
313,06037139401.0,2.706,47.6,19.0,84.8,Los Angeles
314,06037139402.0,2.899,52.7,23.3,84.0,Los Angeles
315,06037139502.0,2.917,50.0,23.6,83.4,Los Angeles
316,06037139503.0,5.946,43.0,18.8,90.9,Los Angeles
317,06037139504.0,3.998,42.8,17.4,82.3,Los Angeles
318,06037139600.0,5.06,46.5,21.0,83.3,Los Angeles
319,06037139701.0,5.32,46.3,20.0,81.6,Los Angeles
320,06037139702.0,6.447,49.8,24.0,89.6,Los Angeles
321,06037139703.0,2.861,46.2,22.8,81.3,Los Angeles
322,06037139801.0,3.488,50.7,26.8,84.5,Los Angeles
323,06037139802.0,4.126,46.9,25.4,78.5,Los Angeles
324,06037141101.0,4.674,50.6,8.7,73.9,Los Angeles
325,06037141102.0,3.074,46.7,13.5,79.1,Los Angeles
326,06037141201.0,4.583,46.7,8.9,77.9,Los Angeles
327,06037141202.0,2.674,46.9,11.1,82.1,Los Angeles
328,06037141302.0,6.037,47.8,11.3,78.4,Los Angeles
329,06037141303.0,3.477,52.2,15.2,80.0,Los Angeles
330,06037141304.0,2.995,47.0,12.8,84.7,Los Angeles
331,06037141400.0,5.099,47.7,21.2,78.8,Los Angeles
332,06037141500.0,2.982,47.0,23.4,87.4,Los Angeles
333,06037141600.0,4.178,51.0,20.8,83.7,Los Angeles
334,06037141700.0,3.161,50.5,19.9,88.3,Los Angeles
335,06037143100.0,4.389,52.6,12.1,70.0,Los Angeles
336,06037143200.0,4.085,46.6,9.6,71.6,Los Angeles
337,06037143300.0,6.643,48.9,15.9,76.9,Los Angeles
338,06037143400.0,7.056,44.7,16.9,81.6,Los Angeles
339,06037143500.0,5.482,45.9,11.3,83.6,Los Angeles
340,06037143602.0,4.769,51.7,17.2,77.4,Los Angeles
341,06037143603.0,2.392,48.9,13.2,79.7,Los Angeles
342,06037143604.0,3.72,57.6,3.9,61.2,Los Angeles
343,06037143700.0,3.811,49.5,12.5,83.3,Los Angeles
344,06037143800.0,5.77,53.1,15.8,82.9,Los Angeles
345,06037143901.0,4.069,48.0,22.4,87.6,Los Angeles
346,06037143902.0,2.766,51.5,18.1,88.4,Los Angeles
347,06037181000.0,6.458,51.6,19.6,59.0,Los Angeles
348,06037181300.0,4.059,50.1,18.1,48.7,Los Angeles
349,06037181400.0,4.943,46.4,16.0,42.6,Los Angeles
