,Health Measure,City,DF Model,CC Model,Hybrid Model
33,BPHIGH,Chicago,0.8378229669511407,0.7802185874762742,0.9101569973706529
34,BPHIGH,Los Angeles,0.34223256801834867,0.24269307737618306,0.5502770840273385
35,BPHIGH,Memphis,-0.12327416777699107,0.5676965702807595,0.7903716366376508
36,BPHIGH,New York,0.4226309254264484,0.41646904054015044,0.7409789879007357
37,BPHIGH,Philadelphia,0.6661495637620614,0.4937690092899094,0.824042802823981
38,BPHIGH,San Diego,0.40637005842265805,0.23773556008156127,0.6303719127041545
39,BPHIGH,San Francisco,0.24050223173909313,0.18383908767917922,0.7272458190922765
40,CANCER,Austin,0.7966515711041741,0.33188642363018683,0.8168970831680535
41,CANCER,Baltimore,0.4704158817137024,0.22004275517498717,0.7003036215602871
42,CANCER,Boston,0.632748795331859,0.3376623338430148,0.7371328749451507
43,CANCER,Chicago,0.7001859579850821,0.4553301572611319,0.7982785403886389
44,CANCER,Los Angeles,0.7935856473207947,0.5347082712213032,0.8467166690119936
45,CANCER,Memphis,0.6198953922220354,0.1786283723350801,0.7032909209677456
46,CANCER,New York,0.734840660666446,0.3502285664620247,0.7989057747936245
47,CANCER,Philadelphia,0.6991790015428063,0.28586958019358455,0.7963392949036036
48,CANCER,San Diego,0.8193149704144151,0.2802374246929257,0.8606866097188264
49,CANCER,San Francisco,0.5539206778341368,0.13163094525897612,0.6962729629508944
50,CASTHMA,Austin,-0.16918741198952936,0.08444606211505223,0.3866513842395005
51,CASTHMA,Baltimore,0.28120044734300187,0.5252971419478448,0.812437819818723
52,CASTHMA,Boston,0.0024139085696540663,0.3998550135015869,0.7745233200812222
53,CASTHMA,Chicago,0.7789818294982414,0.7933829933813986,0.8788738260963116
54,CASTHMA,Los Angeles,0.1687743269732953,0.5347019690074161,0.6223272672057681
55,CASTHMA,Memphis,0.4062787273130707,0.5571760002721549,0.7195088409718868
56,CASTHMA,New York,0.40889684760243494,0.539920359952287,0.7010974138523769
57,CASTHMA,Philadelphia,-0.07881451558779529,0.6139107708302391,0.7737747299543012
58,CASTHMA,San Diego,-0.027887835509842196,0.4909460838069729,0.5286139917470201
59,CASTHMA,San Francisco,-1.6899729556222671,0.28813461685215824,0.41691004279931
60,CHD,Austin,0.4282478983911573,0.24194839696091985,0.6418004749095761
61,CHD,Baltimore,0.3960789506532334,0.34182105049703093,0.5870126290510445
62,CHD,Boston,0.5407446479656582,0.20268980211081122,0.6842658794565284
63,CHD,Chicago,0.6589822070281977,0.5449645635313823,0.7486353544511033
64,CHD,Los Angeles,0.2562902242999675,0.1888769925628555,0.46119001576794083
65,CHD,Memphis,0.08515320570371077,0.43295282364900556,0.6331249029433959
66,CHD,New York,0.2625666463035756,0.27959977482156995,0.5715839978229722
67,CHD,Philadelphia,0.330605040551586,0.2300407410882661,0.5398296830218496
68,CHD,San Diego,0.3582613433829973,0.11275820756583688,0.6036976475300662
69,CHD,San Francisco,0.2675308414172589,0.23995880858654262,0.6910393055211085
70,CHECKUP,Austin,0.2004100445133452,0.3561713614662595,0.7404506113085788
71,CHECKUP,Baltimore,0.532553768641985,0.6511215734316455,0.9020981302142254
72,CHECKUP,Boston,0.23860419795885934,0.6170035520949003,0.8484138594923647
73,CHECKUP,Chicago,0.6410447850771446,0.8133192014726165,0.9221195363363649
74,CHECKUP,Los Angeles,-0.5626878243683158,0.7704155473436745,0.890818346889012
75,CHECKUP,Memphis,-0.2699631284199213,0.2343831324796961,0.7403069758497969
76,CHECKUP,New York,-0.3842010932819231,0.48547731554929074,0.7675355118125082
77,CHECKUP,Philadelphia,0.3617583053387481,0.5194532609816738,0.8570924491257834
