,Health Measure,City,DF Model,CC Model,Hybrid Model
24,BINGE,Los Angeles,1.9909718230307563,1.947527832983535,1.280587064292651
25,BINGE,Memphis,3.173780071079595,2.062524382305299,1.4752422894863686
26,BINGE,New York,2.3530570676474363,2.44855316765788,1.6049485732612554
27,BINGE,Philadelphia,2.744825090785281,2.8273096760949183,1.643744878087092
28,BINGE,San Diego,2.455657608955191,2.8634744106740335,1.9308503267736514
29,BINGE,San Francisco,3.239891356002693,3.2814337711438673,1.5368412841731875
30,BPHIGH,Austin,3.7140307174033977,4.316136361191443,2.907988444787262
31,BPHIGH,Baltimore,6.975863434882554,6.993654915748562,4.097505430639573
32,BPHIGH,Boston,4.43421180159467,6.224183858162144,3.4249941626046145
33,BPHIGH,Chicago,4.3138451644078355,5.021868747116886,3.2107907752665423
34,BPHIGH,Los Angeles,3.503642912835434,3.7594093491577505,2.8970511471827276
35,BPHIGH,Memphis,9.670165358645654,5.999089695551428,4.177495941611025
36,BPHIGH,New York,4.536585607936876,4.560729376087813,3.038574225024963
37,BPHIGH,Philadelphia,5.194033585968605,6.395921779342699,3.770789571052161
38,BPHIGH,San Diego,4.064211448801347,4.605441033067914,3.2070141673948402
39,BPHIGH,San Francisco,4.736845609057728,4.910366119181514,2.8386489459117765
40,CANCER,Austin,0.7613225797530565,1.3799820847860909,0.7224302641665119
41,CANCER,Baltimore,0.9174487741085047,1.1133962305817608,0.6901684398076777
42,CANCER,Boston,0.9188278150196058,1.2339348949648872,0.7773572564482788
43,CANCER,Chicago,0.7861716734455347,1.059639336215341,0.6448629979027509
44,CANCER,Los Angeles,0.7098751766297775,1.065797531359718,0.611729618481764
45,CANCER,Memphis,0.8098442588724301,1.1904736554424986,0.715509424191306
46,CANCER,New York,0.7611806530492671,1.19155634671178,0.6628787190905877
47,CANCER,Philadelphia,0.9385819403276374,1.4461285022414339,0.7722745815439016
48,CANCER,San Diego,0.8499210360222608,1.6963369555459387,0.7463008279264457
49,CANCER,San Francisco,0.7621312085257645,1.0633491031160005,0.6288765874227301
50,CASTHMA,Austin,0.9951062600292907,0.8805811008213427,0.7207440861500319
51,CASTHMA,Baltimore,1.7182050698089857,1.3963105529519033,0.8776952200636361
52,CASTHMA,Boston,1.7766113922685043,1.377987700186867,0.8446330391986435
53,CASTHMA,Chicago,0.9940581225234004,0.9611270963385526,0.7358965857956753
54,CASTHMA,Los Angeles,1.2023326078583534,0.899561290441632,0.8104439168326175
55,CASTHMA,Memphis,1.5201056409120657,1.3127984065615208,1.044821388069311
