,TractFIPS,AirQuality,Animals,Building,CodeEnforcement,Construction,Fire,Flooding,Garbage,Graffiti,HazardousMaterials,Homelessness,Household,IllegalDumping,Noise,Parks,Recycling,Rodents,Sewage,SnowRemoval,StormwaterDrainage,StreetConditions,Streetlights,TrafficSignals,Transportation,Trees,UnsanitaryConditions,Water,City,Year,TotalPopulation
13076,36047050801.0,3,0,182,0,0,2,0,11,28,0,3,314,0,238,0,0,29,6,0,0,32,9,14,3,8,84,55,New York,2019,4075.0
13077,36047050801.0,0,1,178,0,1,126,0,2,4,0,7,229,0,447,0,0,14,1,0,0,25,9,10,2,0,96,65,New York,2020,4075.0
13078,36047050801.0,1,5,312,0,0,40,1,22,2,0,5,320,1,572,0,0,22,5,0,0,18,5,6,7,3,149,56,New York,2021,4075.0
13079,36047050801.0,7,10,528,0,0,13,0,11,15,5,4,577,13,508,0,0,26,4,1,0,16,8,13,7,4,246,99,New York,2022,4075.0
13080,36047050803.0,2,3,114,0,9,2,0,2,19,2,7,183,0,150,2,1,10,4,2,0,26,3,9,6,12,66,25,New York,2019,2522.0
13081,36047050803.0,2,4,145,0,4,95,1,2,2,2,17,245,0,294,13,1,10,10,0,0,21,7,18,4,6,74,32,New York,2020,2522.0
13082,36047050803.0,2,4,193,0,0,26,1,9,1,1,17,261,1,414,0,0,41,19,0,0,19,3,9,5,19,149,48,New York,2021,2522.0
13083,36047050803.0,3,4,208,0,1,11,0,11,7,0,7,410,7,326,0,0,50,4,0,0,23,6,12,7,4,118,61,New York,2022,2522.0
13084,36047050804.0,7,3,253,0,4,3,1,21,5,5,9,439,0,502,4,1,18,7,0,0,31,6,2,2,7,143,55,New York,2019,6083.0
13085,36047050804.0,9,4,239,0,10,130,0,18,1,1,10,412,0,783,9,1,18,4,2,0,29,4,1,5,32,124,60,New York,2020,6083.0
13086,36047050804.0,3,7,375,0,8,20,1,22,0,3,42,648,3,686,6,0,51,8,2,0,32,8,0,4,23,236,80,New York,2021,6083.0
13087,36047050804.0,15,23,440,0,7,3,0,19,0,0,36,802,44,735,19,0,32,17,2,0,45,2,8,2,33,317,93,New York,2022,6083.0
13088,36047050900.0,1,0,68,0,10,1,4,65,17,2,1,7,0,86,0,0,6,16,1,0,34,5,14,4,28,32,23,New York,2019,5440.0
13089,36047050900.0,0,0,35,0,1,25,0,28,0,0,0,2,0,71,0,0,11,24,0,0,26,10,16,3,20,19,10,New York,2020,5440.0
13090,36047050900.0,3,0,55,0,0,2,0,49,2,1,44,6,0,56,0,0,7,12,4,0,44,7,40,0,13,7,2,New York,2021,5440.0
13091,36047050900.0,0,2,33,0,0,1,1,36,13,2,3,6,5,46,1,0,8,8,0,0,17,16,24,3,14,6,7,New York,2022,5440.0
13092,36047051001.0,1,3,252,0,0,0,0,3,12,2,1,279,0,252,0,0,25,1,0,0,15,1,0,11,11,86,68,New York,2019,4092.0
13093,36047051001.0,5,1,251,0,1,76,0,6,0,1,3,205,0,271,1,0,7,0,2,0,12,1,1,3,11,78,60,New York,2020,4092.0
13094,36047051001.0,3,2,336,0,0,92,0,8,0,1,8,203,0,334,0,0,21,2,3,0,11,5,8,3,9,127,114,New York,2021,4092.0
13095,36047051001.0,4,3,346,0,1,7,0,3,8,2,8,199,5,403,0,0,31,1,3,0,8,6,16,4,3,183,74,New York,2022,4092.0
13096,36047051002.0,1,2,244,0,5,6,0,12,38,6,9,762,0,658,0,0,34,12,0,0,20,3,7,11,14,146,53,New York,2019,4858.0
13097,36047051002.0,12,5,169,0,3,156,0,6,4,0,6,353,0,935,0,0,16,13,2,0,17,3,10,6,36,72,35,New York,2020,4858.0
13098,36047051002.0,4,4,442,0,0,59,1,29,3,0,2,398,4,550,1,1,37,6,13,0,17,7,3,8,7,191,84,New York,2021,4858.0
13099,36047051002.0,8,6,432,0,2,5,0,21,18,1,7,423,33,335,0,0,44,8,4,0,11,16,17,12,5,194,93,New York,2022,4858.0
13100,36047051100.0,15,11,246,0,8,0,0,6,33,1,13,469,0,415,0,0,14,6,0,0,33,15,2,18,22,112,58,New York,2019,4333.0
13101,36047051100.0,14,0,179,0,34,29,0,18,9,3,28,159,0,464,10,0,12,3,7,0,29,8,9,8,13,41,58,New York,2020,4333.0
13102,36047051100.0,20,3,363,0,2,9,0,30,1,0,64,212,3,678,2,0,16,6,18,0,21,15,6,0,11,88,57,New York,2021,4333.0
13103,36047051100.0,19,24,309,0,3,5,1,33,5,2,23,372,17,643,17,0,25,2,20,0,25,12,12,6,12,82,28,New York,2022,4333.0
13104,36047051200.0,7,0,425,0,2,4,0,7,6,4,5,517,0,459,1,0,70,6,0,0,23,1,2,3,8,171,96,New York,2019,5936.0
13105,36047051200.0,6,4,441,0,7,195,0,9,2,2,5,400,0,673,0,0,69,3,1,0,14,0,1,4,6,244,53,New York,2020,5936.0
13106,36047051200.0,6,7,467,0,1,119,2,11,1,0,3,553,0,498,0,1,89,8,1,0,19,1,3,2,5,247,131,New York,2021,5936.0
